name,age,email,country,balance
Tanner Reilly,79,sit.amet.ultricies@aol.com,France,"$1,964.55"
Isabella Gilbert,51,magna.lorem@protonmail.ca,United States,"$3,458.17"
Hasad Banks,51,a.malesuada.id@icloud.org,Singapore,"$1,961.47"
Kato Joyner,94,malesuada.ut.sem@aol.net,Turkey,"$3,951.76"
Ray Boyer,41,iaculis@google.couk,Chile,$278.45
Erich Dalton,84,ante.dictum@protonmail.ca,Netherlands,"$2,609.56"
Iris Hughes,67,et.libero@protonmail.couk,France,"$1,425.97"
Neil Phelps,79,ut.sagittis@outlook.ca,Australia,"$4,897.41"
Colette Howard,29,cubilia.curae.phasellus@yahoo.com,Philippines,"$1,625.23"
Jemima Bonner,90,non.dui@yahoo.edu,Chile,"$4,107.80"
Tana Ellison,75,nulla.dignissim@protonmail.com,Belgium,$836.62
Giselle Gross,38,magna.a@protonmail.ca,Singapore,$94.12
Jessica Walls,55,amet.ante@icloud.org,South Africa,"$3,140.78"
Pamela Kirby,89,cursus.et@yahoo.com,Vietnam,"$1,679.46"
Chelsea Washington,25,eget.tincidunt@protonmail.edu,South Korea,"$3,033.81"
Idona Savage,37,a.felis@outlook.edu,Turkey,"$2,439.36"
Randall Anderson,22,ridiculus.mus@icloud.couk,Germany,"$2,465.46"
Remedios Boyer,62,suscipit.est@google.com,South Africa,"$3,604.75"
Harlan Talley,89,id.nunc.interdum@hotmail.edu,Canada,"$4,464.04"
Raven York,64,felis.ullamcorper@protonmail.com,Canada,$53.33
Sonia Davis,83,non.justo@icloud.com,Chile,"$4,309.81"
Ethan Jensen,28,nec.eleifend@hotmail.net,China,$352.14
Logan Jefferson,77,non@aol.ca,Ireland,"$1,281.26"
Emery Burnett,57,amet.ultricies@aol.com,Austria,"$4,616.49"
Brendan Luna,98,in.tempus@outlook.net,Mexico,"$4,706.65"
Cade Lott,73,vel.mauris.integer@yahoo.org,Belgium,"$2,883.23"
Mechelle Joyner,36,tempor@yahoo.net,Peru,$351.18
Ulla Maxwell,36,id@icloud.couk,Peru,"$4,877.58"
Jasper Sweeney,25,eu.nibh.vulputate@google.couk,Peru,"$2,100.09"
Ezekiel Burton,58,pede.nunc@outlook.couk,Netherlands,"$4,007.98"
Rudyard Herman,91,commodo.tincidunt@aol.couk,Costa Rica,"$3,300.28"
Jasmine Vega,62,tellus@hotmail.com,Australia,$109.41
Oren Briggs,48,egestas.aliquam@protonmail.ca,Mexico,$599.10
Iola Chen,96,mi.lacinia@yahoo.com,Mexico,"$3,631.35"
Ryder Rivera,45,penatibus.et.magnis@hotmail.ca,Nigeria,$416.09
Francesca Vance,72,tristique.aliquet.phasellus@outlook.couk,Chile,"$3,468.17"
Daphne Coffey,68,blandit@aol.org,Netherlands,"$4,061.66"
Gary Roach,88,volutpat.ornare@protonmail.edu,Canada,"$2,138.15"
Simone Castillo,76,risus.nunc@icloud.org,Ukraine,"$3,924.51"
Katelyn Green,25,nulla.facilisi@icloud.couk,Brazil,"$1,546.99"
Ingrid Phelps,67,justo.sit@aol.couk,United States,$69.01
Tyler Conrad,95,eu.ultrices.sit@protonmail.ca,Netherlands,"$1,528.90"
Curran Dunn,57,mattis.ornare@google.ca,South Korea,$636.41
Bruce Murphy,49,sed.tortor@outlook.org,Sweden,"$3,792.84"
Marsden Baird,50,amet.faucibus@google.ca,Poland,"$3,685.58"
Medge Roberts,82,purus.sapien@aol.edu,Pakistan,"$4,155.29"
Ahmed Golden,94,eu.ligula@hotmail.ca,Vietnam,"$3,763.42"
Marshall Whitley,93,malesuada@hotmail.couk,China,"$4,610.86"
Deanna Michael,51,euismod.mauris.eu@icloud.org,Norway,"$2,256.25"
Colorado Kemp,66,maecenas@icloud.org,Singapore,"$2,829.26"
Ross Thornton,59,ut.pharetra.sed@aol.org,Spain,"$2,456.71"
Demetria Reed,40,eu@yahoo.couk,Chile,$34.23
